time,lat,lon
2013-08-09 00:42:00,-48.6373915,-125.9759682
2013-08-09 00:45:00,-48.63405683,-125.9848428
2013-08-09 00:48:00,-48.63135833,-125.993364
2013-08-09 00:54:00,-48.62946133,-125.9999118
2013-08-09 00:57:00,-48.6287015,-126.003137
2013-08-09 01:00:00,-48.62868433,-126.0033588
2013-08-09 01:03:00,-48.62868917,-126.0033972
2013-08-09 01:06:00,-48.62872817,-126.0033948
2013-08-09 01:12:00,-48.62874133,-126.003403
2013-08-09 01:15:00,-48.628766,-126.0033943
2013-08-09 01:18:00,-48.62889333,-126.0033325
2013-08-09 01:21:00,-48.62890517,-126.0033338
2013-08-09 01:24:00,-48.62888267,-126.0033287
2013-08-09 01:30:00,-48.62892183,-126.0033132
2013-08-09 01:33:00,-48.62894833,-126.003307
2013-08-09 01:36:00,-48.62890483,-126.0032953
2013-08-09 01:39:00,-48.62891567,-126.003314
2013-08-09 01:42:00,-48.6289095,-126.0033053
2013-08-09 01:45:00,-48.62891117,-126.0032638
2013-08-09 01:51:00,-48.62890833,-126.0033072
2013-08-09 01:54:00,-48.62890083,-126.0032952
2013-08-09 01:57:00,-48.62886683,-126.0033085
2013-08-09 02:00:00,-48.62878,-126.0033105
2013-08-09 02:03:00,-48.62862383,-126.0033625
2013-08-09 02:06:00,-48.6284875,-126.0034388
2013-08-09 02:12:00,-48.62834783,-126.0035172
2013-08-09 02:15:00,-48.6282535,-126.0036017
2013-08-09 02:18:00,-48.62819883,-126.0036262
2013-08-09 02:21:00,-48.62815533,-126.0036705
2013-08-09 02:24:00,-48.62809083,-126.0037057
2013-08-09 02:27:00,-48.6280575,-126.0037633
2013-08-09 02:33:00,-48.6280415,-126.003773
2013-08-09 02:36:00,-48.62798133,-126.0038113
2013-08-09 02:39:00,-48.6279825,-126.0038385
2013-08-09 02:42:00,-48.6280415,-126.003753
2013-08-09 02:45:00,-48.628128,-126.0036703
2013-08-09 02:51:00,-48.62822333,-126.003586
2013-08-09 02:54:00,-48.6282385,-126.003563
2013-08-09 02:57:00,-48.62828333,-126.0035397
2013-08-09 03:00:00,-48.62832883,-126.0035108
2013-08-09 03:03:00,-48.62833717,-126.0035155
2013-08-09 03:09:00,-48.62834117,-126.0035103
2013-08-09 03:12:00,-48.62832083,-126.0035217
2013-08-09 03:15:00,-48.62832283,-126.0035088
2013-08-09 03:18:00,-48.62827717,-126.0035153
2013-08-09 03:21:00,-48.628189,-126.003537
2013-08-09 03:24:00,-48.62808133,-126.0035825
2013-08-09 03:27:00,-48.62797617,-126.0036127
2013-08-09 03:30:00,-48.6279,-126.0036535
2013-08-09 03:33:00,-48.62787667,-126.0036512
2013-08-09 03:36:00,-48.62783983,-126.003662
2013-08-09 03:42:00,-48.62773017,-126.0036885
2013-08-09 03:45:00,-48.627584,-126.003747
2013-08-09 03:48:00,-48.62741383,-126.0037908
2013-08-09 03:51:00,-48.627356,-126.0038415
2013-08-09 03:57:00,-48.6273235,-126.0038888
2013-08-09 04:00:00,-48.6272865,-126.0039258
2013-08-09 04:03:00,-48.627394,-126.0038182
2013-08-09 04:06:00,-48.627491,-126.0037352
2013-08-09 04:09:00,-48.62752317,-126.0037153
2013-08-09 04:12:00,-48.62761317,-126.0036222
2013-08-09 04:18:00,-48.62766933,-126.0035727
2013-08-09 04:21:00,-48.62772733,-126.0035032
2013-08-09 04:24:00,-48.62779283,-126.0034532
2013-08-09 04:27:00,-48.62783183,-126.003408
2013-08-09 04:33:00,-48.627878,-126.003381
2013-08-09 04:36:00,-48.62796883,-126.003295
2013-08-09 04:39:00,-48.62809333,-126.0031698
2013-08-09 04:42:00,-48.62810983,-126.0031483
2013-08-09 04:45:00,-48.62816667,-126.0031032
2013-08-09 04:51:00,-48.62814683,-126.0031275
2013-08-09 04:54:00,-48.62815333,-126.0031017
2013-08-09 04:57:00,-48.6281295,-126.0031597
2013-08-09 05:00:00,-48.62812183,-126.003155
2013-08-09 05:03:00,-48.62811817,-126.0031455
2013-08-09 05:06:00,-48.62804733,-126.0031803
2013-08-09 05:12:00,-48.628002,-126.0032375
2013-08-09 05:15:00,-48.628051,-126.0031993
2013-08-09 05:18:00,-48.62851633,-126.0031968
2013-08-09 05:21:00,-48.630865,-125.9989192
2013-08-09 05:24:00,-48.63560017,-125.9958758
2013-08-09 05:30:00,-48.6428565,-125.9975698
2013-08-09 05:33:00,-48.65008833,-125.9989475
2013-08-09 05:36:00,-48.65840067,-126.000512
2013-08-09 05:39:00,-48.66600833,-126.0028145
2013-08-09 05:42:00,-48.66450567,-126.0109868
2013-08-09 05:45:00,-48.65630633,-126.0082638
2013-08-09 05:51:00,-48.64783267,-126.0048488
2013-08-09 05:54:00,-48.639459,-126.0015417
2013-08-09 05:57:00,-48.63363717,-125.9993778
2013-08-09 06:00:00,-48.63146167,-126.0009153
2013-08-09 06:06:00,-48.63140217,-126.0020878
2013-08-09 06:09:00,-48.63078083,-125.9996945
2013-08-09 06:12:00,-48.63021767,-125.9973333
2013-08-09 06:15:00,-48.63009417,-125.9956927
2013-08-09 06:18:00,-48.630196,-125.993508
2013-08-09 06:21:00,-48.630392,-125.9933057
2013-08-09 06:27:00,-48.630226,-125.993343
2013-08-09 06:30:00,-48.630199,-125.9933877
2013-08-09 06:33:00,-48.63010633,-125.9934527
2013-08-09 06:36:00,-48.63002367,-125.9935195
2013-08-09 06:39:00,-48.62994767,-125.9935995
2013-08-09 06:45:00,-48.629896,-125.993657
2013-08-09 06:48:00,-48.62993033,-125.9936262
2013-08-09 06:51:00,-48.62998633,-125.9935515
2013-08-09 06:54:00,-48.63000183,-125.993535
2013-08-09 06:57:00,-48.63001617,-125.993531
2013-08-09 07:00:00,-48.63005567,-125.9934975
2013-08-09 07:06:00,-48.6300995,-125.9934245
2013-08-09 07:09:00,-48.6301765,-125.9933285
2013-08-09 07:12:00,-48.630246,-125.9932203
2013-08-09 07:15:00,-48.6303055,-125.9931817
