time_X,sst,sst_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,,depth
2015-06-09,23.2200183775,1.94764053271,2015-06-09,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-10,23.0744246307,1.85682434426,2015-06-10,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-11,23.0351621316,1.81451484273,2015-06-11,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-12,23.1713558786,1.77372226821,2015-06-12,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-13,23.6204496185,1.6783964781,2015-06-13,0.256151203227,0.0518874029445,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-14,23.7889871148,1.58369753239,2015-06-14,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-15,24.0429183591,1.57602791803,2015-06-15,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-16,24.2218808551,1.47541290564,2015-06-16,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-17,24.3901246013,1.4476448542,2015-06-17,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-18,24.4680995996,1.48305876233,2015-06-18,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-19,24.3752746017,1.69062538046,2015-06-19,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-20,24.092124608,1.8884009167,2015-06-20,0.257915252123,0.051991440547,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-21,23.8750058629,1.72749175364,2015-06-21,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-22,23.8116371143,1.55238504084,2015-06-22,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-23,24.0229933595,1.44359607852,2015-06-23,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-24,24.3556433521,1.26853497932,2015-06-24,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-25,24.3966308512,1.28286801309,2015-06-25,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-26,24.4445558501,1.36195004247,2015-06-26,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-27,24.6001120966,1.37385083995,2015-06-27,0.258922002348,0.0522790822305,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-28,24.7420120934,1.43212303269,2015-06-28,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-29,24.6545183454,1.534943061,2015-06-29,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-06-30,24.5556808476,1.63198583618,2015-06-30,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-01,24.4765245994,1.65384163485,2015-07-01,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-02,24.4747370994,1.61042039609,2015-07-02,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-03,24.5219120984,1.52495354982,2015-07-03,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-04,24.6885058446,1.51981053891,2015-07-04,0.260582185319,0.0527328822506,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-05,24.8276058415,1.41107296595,2015-07-05,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-06,24.8792370904,1.31028229352,2015-07-06,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-07,25.0135870874,1.15683863825,2015-07-07,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-08,25.0507870866,0.966121892131,2015-07-08,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-09,25.1381995846,0.787036345202,2015-07-09,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-10,25.1507558343,0.789508687868,2015-07-10,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-11,25.1374558346,0.84431263115,2015-07-11,0.261906378258,0.0523257130258,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-12,25.1155433351,0.8852206913,2015-07-12,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-13,25.0722558361,0.928669469947,2015-07-13,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-14,24.9160933396,0.963566830414,2015-07-14,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-15,24.9126183396,1.01089750212,2015-07-15,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-16,25.1113683352,0.901839381189,2015-07-16,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-17,25.1555933342,0.81992440656,2015-07-17,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-18,25.3490808299,0.855008060737,2015-07-18,0.264334039387,0.0519278675649,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-19,25.1736183338,0.987060913329,2015-07-19,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-20,25.1068245853,1.06224470981,2015-07-20,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-21,25.0545370865,1.15221476159,2015-07-21,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-22,25.0813370859,1.25901176728,2015-07-22,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-23,25.1428308345,1.32983980829,2015-07-23,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-24,25.163312084,1.33965803305,2015-07-24,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-25,25.1089995853,1.33004577346,2015-07-25,0.266937129656,0.0514449372616,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-26,25.0956683356,1.32444514337,2015-07-26,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-27,25.1285933348,1.29716715054,2015-07-27,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-28,25.3286933303,1.33354947486,2015-07-28,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-29,25.4414495778,1.28847782368,2015-07-29,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-30,25.4676995772,1.2142524412,2015-07-30,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-07-31,25.5256120759,1.17012335841,2015-07-31,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-08-01,25.5751808248,1.19468356441,2015-08-01,0.269347725238,0.0507541643166,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-08-02,25.5018995765,1.23497913707,2015-08-02,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-08-03,25.4195620783,1.2001572493,2015-08-03,,,23.0,33.0,-160.0,-150.0,,0.494024991989
2015-08-04,25.3277120804,1.14296479839,2015-08-04,,,23.0,33.0,-160.0,-150.0,,0.494024991989
