adt,start_time,end_time,lat1,lat2,lon1,lon2,
0.8756,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9008,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9185,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9172,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8993,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8839,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8921,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9167,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8454,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8793,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9084,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9257,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9346,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.944,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9556,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9575,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.939,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9051,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8706,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.842,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8162,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7963,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.7908,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.798,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8067,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8122,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8206,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8314,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8375,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.842,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8504,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.862,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8793,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9029,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.922,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9273,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9188,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9031,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8923,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8911,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8351,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8694,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8829,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8883,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.899,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9178,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9343,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9339,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.9118,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8784,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8492,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8266,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
0.8077,2016-02-04,2016-03-04,30.12,35.07,-164.47,-156.52,
