time_X,NO3,NO3_std_X,time_Y,PO4,PO4_std_Y,lat1,lat2,lon1,lon2,depth,
2015-08-22,3.42652416339e-05,0.000211893661389,2015-08-22,0.27153335113,0.0472360700086,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-23,,,2015-08-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-24,,,2015-08-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-25,,,2015-08-25,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-26,,,2015-08-26,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-27,,,2015-08-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-28,,,2015-08-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-29,3.19289871783e-05,0.000203036262319,2015-08-29,0.271955716637,0.0463238362235,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-30,,,2015-08-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-08-31,,,2015-08-31,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-01,,,2015-09-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-02,,,2015-09-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-03,,,2015-09-03,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-04,,,2015-09-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-05,3.74940169344e-05,0.00024925580818,2015-09-05,0.271847286969,0.0445547477815,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-06,,,2015-09-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-07,,,2015-09-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-08,,,2015-09-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-09,,,2015-09-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-10,,,2015-09-10,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-11,,,2015-09-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-12,1.7332830925e-05,0.000114672406514,2015-09-12,0.271726926033,0.0431785500697,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-13,,,2015-09-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-14,,,2015-09-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-15,,,2015-09-15,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-16,,,2015-09-16,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-17,,,2015-09-17,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-18,,,2015-09-18,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-19,4.92022238328e-06,3.05542465734e-05,2015-09-19,0.272272185099,0.0428496706599,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-20,,,2015-09-20,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-21,,,2015-09-21,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-22,,,2015-09-22,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-23,,,2015-09-23,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-24,,,2015-09-24,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-25,,,2015-09-25,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-26,1.36291885456e-05,0.000100179971038,2015-09-26,0.272652616948,0.0427250781751,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-27,,,2015-09-27,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-28,,,2015-09-28,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-29,,,2015-09-29,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-09-30,,,2015-09-30,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-01,,,2015-10-01,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-02,,,2015-10-02,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-03,8.14342442016e-05,0.000455211998101,2015-10-03,0.27196640354,0.0426513476144,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-04,,,2015-10-04,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-05,,,2015-10-05,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-06,,,2015-10-06,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-07,,,2015-10-07,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-08,,,2015-10-08,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-09,,,2015-10-09,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-10,8.55096095538e-05,0.0004340255744,2015-10-10,0.271208729434,0.0429270949958,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-11,,,2015-10-11,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-12,,,2015-10-12,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-13,,,2015-10-13,,,23.0,33.0,-160.0,-150.0,0.494024991989,
2015-10-14,,,2015-10-14,,,23.0,33.0,-160.0,-150.0,0.494024991989,
