time,fco2,fco2_std,lat1,lat2,lon1,lon2,
2013-07-19,402.093465991,27.2766549486,-36.98,51.65,-173.85,-23.95,
2013-07-20,425.77238062,38.2425465723,-36.98,51.65,-173.85,-23.95,
2013-07-21,427.625778215,34.4353590787,-36.98,51.65,-173.85,-23.95,
2013-07-22,418.869005779,23.8248454596,-36.98,51.65,-173.85,-23.95,
2013-07-23,426.617014143,35.9433229644,-36.98,51.65,-173.85,-23.95,
2013-07-24,395.344402379,30.7159296042,-36.98,51.65,-173.85,-23.95,
2013-07-25,366.504503673,39.984356783,-36.98,51.65,-173.85,-23.95,
2013-07-26,402.446363516,17.7858406836,-36.98,51.65,-173.85,-23.95,
2013-07-27,415.185206319,16.8456510161,-36.98,51.65,-173.85,-23.95,
2013-07-28,419.095339269,16.9171510432,-36.98,51.65,-173.85,-23.95,
2013-07-29,415.615409031,18.0296365293,-36.98,51.65,-173.85,-23.95,
2013-07-30,397.368542796,14.5513182697,-36.98,51.65,-173.85,-23.95,
2013-07-31,387.195553476,17.3530071227,-36.98,51.65,-173.85,-23.95,
2013-08-01,397.545090909,19.4424103033,-36.98,51.65,-173.85,-23.95,
2013-08-02,394.726234573,13.5256044559,-36.98,51.65,-173.85,-23.95,
2013-08-03,390.635373336,14.5376143031,-36.98,51.65,-173.85,-23.95,
2013-08-04,395.266590897,14.7359268901,-36.98,51.65,-173.85,-23.95,
2013-08-05,394.525326326,20.6207386236,-36.98,51.65,-173.85,-23.95,
2013-08-06,397.50075831,13.933421519,-36.98,51.65,-173.85,-23.95,
2013-08-07,393.348427883,19.5411096296,-36.98,51.65,-173.85,-23.95,
2013-08-08,397.492146306,18.6555865945,-36.98,51.65,-173.85,-23.95,
2013-08-09,389.481221497,16.3364842457,-36.98,51.65,-173.85,-23.95,
2013-08-10,396.198508328,17.318755158,-36.98,51.65,-173.85,-23.95,
2013-08-11,414.717852443,20.566552467,-36.98,51.65,-173.85,-23.95,
2013-08-12,406.604668566,23.358437518,-36.98,51.65,-173.85,-23.95,
2013-08-13,399.638639756,15.0015696663,-36.98,51.65,-173.85,-23.95,
2013-08-14,392.324698587,13.9855609728,-36.98,51.65,-173.85,-23.95,
2013-08-15,381.460926574,19.1046702509,-36.98,51.65,-173.85,-23.95,
2013-08-16,380.381177852,19.4796248634,-36.98,51.65,-173.85,-23.95,
2013-08-17,386.778741544,20.1140957504,-36.98,51.65,-173.85,-23.95,
2013-08-18,391.076277045,24.3187520374,-36.98,51.65,-173.85,-23.95,
2013-08-19,393.755880967,6.56619215414,-36.98,51.65,-173.85,-23.95,
2013-08-20,390.918870241,7.60028370569,-36.98,51.65,-173.85,-23.95,
2013-08-21,391.42901643,4.61772857986,-36.98,51.65,-173.85,-23.95,
2013-08-22,410.213264543,8.48241923143,-36.98,51.65,-173.85,-23.95,
2013-08-23,405.34544876,9.22750577173,-36.98,51.65,-173.85,-23.95,
2013-08-24,420.409885312,11.2213947912,-36.98,51.65,-173.85,-23.95,
