time_X,sst,sst_std_X,time_Y,Si,Si_std_Y,lat1,lat2,lon1,lon2,,depth
2015-05-23,7.6762187249,1.25180327388,2015-05-23,20.3727748335,3.24468083579,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-24,7.78504372247,1.18645395201,2015-05-24,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-25,7.96117496853,1.18977522335,2015-05-25,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-26,8.17791871369,1.17906509736,2015-05-26,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-27,8.28099996138,1.06613426715,2015-05-27,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-28,8.1235624649,0.965914737122,2015-05-28,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-29,7.86778122063,1.09356983581,2015-05-29,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-30,7.9541937187,1.10443148773,2015-05-30,20.1992546328,3.22271726302,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-05-31,8.0476374666,1.1292968601,2015-05-31,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-01,8.20674371304,0.996268029665,2015-06-01,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-02,8.49509370661,0.987249454245,2015-06-02,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-03,8.80679369963,0.827548262632,2015-06-03,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-04,9.0366249445,0.78181588897,2015-06-04,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-05,9.19464369097,0.860765236521,2015-06-05,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-06,9.37186868701,0.964827251396,2015-06-06,20.1292490624,3.13321294058,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-07,9.53913743326,1.01820472945,2015-06-07,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-08,9.59490618202,1.1119273475,2015-06-08,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-09,9.29996243861,1.43336546457,2015-06-09,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-10,9.2605561895,1.47824134003,2015-06-10,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-11,9.03334369457,1.42857926294,2015-06-11,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-12,9.06434994389,1.41325402023,2015-06-12,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-13,9.10630619294,1.23805399515,2015-06-13,20.0816129914,3.1718265365,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-14,8.98780619559,1.4598901651,2015-06-14,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-15,9.00776869514,1.53680563217,2015-06-15,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-16,9.04540619431,1.52296667509,2015-06-16,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-17,9.07581244363,1.51987157598,2015-06-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-18,9.21319369055,1.564514051,2015-06-18,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-19,9.47956243459,1.65207221201,2015-06-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-20,9.63538743111,1.705457807,2015-06-20,19.9110961793,3.20264498405,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-21,9.71814992926,1.79601278745,2015-06-21,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-22,9.85861242612,1.75625832209,2015-06-22,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-23,9.90926242499,1.79613820569,2015-06-23,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-24,9.99659367304,1.81601947866,2015-06-24,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-25,9.99034367318,1.90587688333,2015-06-25,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-26,10.0733624213,1.83507813413,2015-06-26,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-27,10.1466061697,1.68236169162,2015-06-27,19.7935469123,3.18363846232,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-28,10.444837413,1.29401978551,2015-06-28,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-29,10.6371186587,1.23898424808,2015-06-29,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-06-30,10.9561686516,1.22413944296,2015-06-30,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-01,11.2687873946,1.38314309637,2015-07-01,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-02,11.5385748886,1.41932801606,2015-07-02,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-03,11.7659373835,1.44887172787,2015-07-03,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-04,11.47423739,1.55319717317,2015-07-04,19.6954765363,3.14240511192,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-05,11.3590998926,1.54471206596,2015-07-05,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-06,11.3640373925,1.52907346036,2015-07-06,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-07,11.4795123899,1.58676667667,2015-07-07,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-08,11.5863686375,1.49684993706,2015-07-08,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-09,11.6266623866,1.36278460183,2015-07-09,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-10,11.6359998864,1.24951479473,2015-07-10,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-11,11.6407936363,1.20326532819,2015-07-11,19.603432132,3.08589249325,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-12,11.4429623907,1.05021053299,2015-07-12,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-13,11.3104248937,1.24665789395,2015-07-13,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-14,11.3662061424,1.69035993952,2015-07-14,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-15,12.0764061266,1.87620096309,2015-07-15,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-16,13.2934623493,2.21077240656,2015-07-16,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-17,13.0524811047,2.08879361814,2015-07-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-18,12.9254123576,2.00518306384,2015-07-18,19.4934087351,3.04613204246,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-19,12.4303686187,1.86750704622,2015-07-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-20,12.4962248672,1.42393811954,2015-07-20,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-21,13.2052311013,1.27711163551,2015-07-21,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-22,13.1893748517,1.42669929663,2015-07-22,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-23,12.7507311115,1.47669394233,2015-07-23,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-24,12.5101811169,1.54500773097,2015-07-24,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-25,12.3820248697,1.75343070827,2015-07-25,19.4729458556,3.02433017479,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-26,12.2198998733,1.8280046239,2015-07-26,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-27,12.2728498722,1.88134992617,2015-07-27,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-28,12.2864436219,1.87569120627,2015-07-28,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-29,12.37103112,1.88422834678,2015-07-29,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-30,12.6598061135,1.84633523058,2015-07-30,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-07-31,12.7617748612,1.82131298232,2015-07-31,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-01,12.9202186077,1.84601175423,2015-08-01,19.3658323374,2.97603947031,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-02,12.998356106,2.06663691063,2015-08-02,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-03,12.9320686074,2.24127938984,2015-08-03,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-04,12.9635936067,2.42550532359,2015-08-04,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-05,13.0716623543,2.55085287572,2015-08-05,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-06,13.3362248484,2.59176613842,2015-08-06,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-07,13.5213373443,2.46012583488,2015-08-07,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-08,14.2983373269,1.53365238737,2015-08-08,19.2684463017,2.92789937265,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-09,14.829862315,1.30936945662,2015-08-09,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-10,14.8966498135,1.49127515769,2015-08-10,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-11,13.9247060852,2.32388238072,2015-08-11,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-12,13.9171748354,2.52396012086,2015-08-12,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-13,14.1565873301,2.67718888995,2015-08-13,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-14,14.2370498283,2.90526657614,2015-08-14,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-15,14.7997560657,2.93299972109,2015-08-15,19.1422980778,2.91395046444,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-16,15.2713248051,2.85567750012,2015-08-16,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-17,15.6112497975,2.77077882117,2015-08-17,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-18,15.6637435464,2.90719014368,2015-08-18,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-19,15.7360435448,3.0555802169,2015-08-19,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-20,15.7157622952,3.14191629291,2015-08-20,,,43.0,53.0,-160.0,-150.0,,0.494024991989
2015-08-21,15.725268545,3.19794842655,2015-08-21,,,43.0,53.0,-160.0,-150.0,,0.494024991989
