time,lat,lon,sst,margin
2017-04-30,21.875,-160.125,25.369993329,0.2
2017-04-30,21.875,-159.875,25.509993326,0.2
2017-04-30,21.875,-159.625,25.819993319,0.2
2017-04-30,21.875,-159.375,25.999993315,0.2
2017-04-30,21.875,-159.125,25.869993318,0.2
2017-04-30,21.875,-158.375,25.219993333,0.2
2017-04-30,21.875,-158.125,25.139993335,0.2
2017-04-30,21.875,-157.875,25.179993334,0.2
2017-04-30,21.875,-157.625,25.309993331,0.2
2017-04-30,21.875,-156.125,25.269993332,0.2
2017-04-30,21.875,-155.875,25.229993333,0.2
2017-04-30,21.875,-155.625,25.239993332,0.2
2017-04-30,21.875,-155.375,25.259993332,0.2
2017-04-30,21.875,-152.875,25.299993331,0.2
2017-04-30,21.875,-152.625,25.289993331,0.2
2017-04-30,21.875,-152.375,25.219993333,0.2
2017-04-30,21.875,-150.125,25.029993337,0.2
2017-04-30,21.875,-149.875,25.039993337,0.2
2017-04-30,21.875,-149.625,25.079993336,0.2
2017-04-30,21.875,-149.125,25.079993336,0.2
2017-04-30,21.875,-148.875,25.019993337,0.2
2017-04-30,21.875,-146.625,24.619993346,0.2
2017-04-30,21.875,-146.375,24.579993347,0.2
2017-04-30,21.875,-146.125,24.45999335,0.2
2017-04-30,22.125,-161.125,25.619993324,0.2
2017-04-30,22.125,-160.875,25.439993328,0.2
2017-04-30,22.125,-160.625,25.119993335,0.2
2017-04-30,22.125,-160.375,24.969993338,0.2
2017-04-30,22.125,-160.125,24.959993339,0.2
2017-04-30,22.125,-159.875,25.109993335,0.2
2017-04-30,22.125,-158.125,24.959993339,0.2
2017-04-30,22.125,-157.875,25.059993336,0.2
2017-04-30,22.125,-157.625,25.199993333,0.2
2017-04-30,22.125,-156.375,25.32999333,0.2
2017-04-30,22.125,-156.125,25.269993332,0.2
2017-04-30,22.125,-155.875,25.219993333,0.2
2017-04-30,22.125,-155.625,25.199993333,0.2
2017-04-30,22.125,-155.375,25.199993333,0.2
2017-04-30,22.125,-155.125,25.139993335,0.2
2017-04-30,22.125,-154.875,25.029993337,0.2
2017-04-30,22.125,-153.375,25.169993334,0.2
2017-04-30,22.125,-152.625,25.059993336,0.2
2017-04-30,22.125,-152.375,24.969993338,0.2
2017-04-30,22.125,-149.875,24.929993339,0.2
2017-04-30,22.125,-149.625,24.989993338,0.2
2017-04-30,22.125,-149.125,24.969993338,0.2
2017-04-30,22.125,-148.875,24.87999334,0.2
2017-04-30,22.125,-146.875,24.609993346,0.2
2017-04-30,22.125,-146.625,24.619993346,0.2
2017-04-30,22.125,-146.375,24.589993347,0.2
2017-04-30,22.125,-146.125,24.479993349,0.2
2017-04-30,22.375,-160.875,24.939993339,0.2
2017-04-30,22.375,-160.625,24.569993347,0.2
2017-04-30,22.375,-160.375,24.369993352,0.2
2017-04-30,22.375,-157.875,25.019993337,0.2
2017-04-30,22.375,-157.625,25.149993334,0.2
2017-04-30,22.375,-157.375,25.219993333,0.2
